Period (30 days),Counts of outputs per USD range,,,,,,,,,Cumulative USD amount of outputs per USD range,,,,,,,,
30,< $0.05,$0.05 - $1,$1 - $5,$5 - $30,$30 - $100,$100 - $300,$300 - $1000,$1000 - $10000,> $10000,< $0.05,$0.05 - $1,$1 - $5,$5 - $30,$30 - $100,$100 - $300,$300 - $1000,$1000 - $10000,> $10000
2009-01-03,0,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2009-02-02,9,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2009-03-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-03,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009-05-03,3,3,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2009-06-02,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2009-07-02,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2009-08-01,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2009-08-31,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2009-09-30,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2009-10-30,0,0,2,0,6,0,0,0,0,0,0,2,0,300,0,0,0,0
2009-11-29,3,10,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2009-12-29,4,8,5,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0
2010-01-28,6,15,6,1,0,3,0,0,0,0,3,14,7,0,501,0,0,0
2010-02-27,4,16,6,1,0,0,0,0,0,0,4,14,20,0,0,0,0,0
2010-03-29,3082,159,28,34,3,1,0,0,0,2,38,52,214,126,102,0,0,0
2010-04-28,45,70,28,8,1,4,0,0,0,1,15,58,103,90,678,0,0,0
2010-05-28,36,269,22,12,10,9,1,0,0,0,70,42,132,525,1500,500,0,0
2010-06-27,8872,2630,106,59,27,10,3,0,0,11,629,189,764,1369,1740,1390,0,0
2010-07-27,2746,439,94,37,0,0,0,0,0,13,108,223,354,0,0,0,0,0
2010-08-26,2530,609,131,58,25,5,4,0,0,17,169,314,666,1300,997,1840,0,0
2010-09-25,4441,864,238,198,85,21,9,2,0,111,283,640,2782,4943,3536,4236,2988,0
